"pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility"
"Kepler-225 c,Kepler-225,Kepler-225,1,2,Transit,2014,0.111,1.84,4.04,0,M1 V,0.48,0.59,561.101,Kepler"
"Kepler-231 b,Kepler-231,Kepler-231,1,2,Transit,2014,0.074,1.73,35.4,0,M1 V,0.49,0.58,316.618,Kepler"
"Kepler-231 c,Kepler-231,Kepler-231,1,2,Transit,2014,0.114,1.93,24.1,0,M1 V,0.49,0.58,316.618,Kepler"
"Kepler-236 b,Kepler-236,Kepler-236,1,2,Transit,2014,0.065,1.57,3.09,0,M1 V,0.51,0.6,288.763,Kepler"
"Kepler-236 c,Kepler-236,Kepler-236,1,2,Transit,2014,0.132,2,4.66,0,M1 V,0.51,0.6,288.763,Kepler"
"Kepler-252 b,Kepler-252,Kepler-252,1,2,Transit,2014,0.058,1.23,2.04,0,M0 V,0.55,0.61,379.424,Kepler"
"Kepler-252 c,Kepler-252,Kepler-252,1,2,Transit,2014,0.08,2.15,5.27,0,M0 V,0.55,0.61,379.424,Kepler"
"Kepler-28 b,Kepler-28,Kepler-28,1,2,Transit,2011,0.062,3.6,479.9,0,M0 V,0.7,0.75,438.359,Kepler"
"Kepler-28 c,Kepler-28,Kepler-28,1,2,Transit,2011,0.081,3.4,432.23,0,M0 V,0.7,0.75,438.359,Kepler"
"Kepler-287 b,Kepler-287,Kepler-287,1,2,Transit,2014,0.145,2.33,6.04,0,K7 V,1.03,0.97,835.86,Kepler"
"Kepler-287 c,Kepler-287,Kepler-287,1,2,Transit,2014,0.246,3.26,10.7,0,K7 V,1.03,0.97,835.86,Kepler"
"Kepler-303 b,Kepler-303,Kepler-303,1,2,Transit,2014,0.024,0.89,0.64,0,M0 V,0.48,0.57,209.738,Kepler"
"Kepler-303 c,Kepler-303,Kepler-303,1,2,Transit,2014,0.057,1.14,1.55,0,M0 V,0.48,0.57,209.738,Kepler"
"Kepler-309 b,Kepler-309,Kepler-309,1,2,Transit,2014,0.059,1.56,3.05,0,M0 V,0.72,0.67,544.568,Kepler"
"Kepler-309 c,Kepler-309,Kepler-309,1,2,Transit,2014,0.401,2.51,6.85,0,M0 V,0.72,0.67,544.568,Kepler"
"Kepler-539 b,Kepler-539,Kepler-539,1,2,Transit,2016,0.4988,8.373,308.2951,0.39,G2 V,0.95,1.05,307.318,Kepler"
"Kepler-539 c,Kepler-539,Kepler-539,1,2,Transit Timing Variations,2016,2.42,13.3,762.792,0.5,G2 V,0.95,1.05,307.318,Kepler"
"Kepler-69 b,Kepler-69,Kepler-69,1,2,Transit,2013,0.094,2.24,5.65,0.16,G4 V,0.93,0.81,730.625,Kepler"
"Kepler-69 c,Kepler-69,Kepler-69,1,2,Transit,2013,0.64,1.71,3.57,0.14,G4 V,0.93,0.81,730.625,Kepler"
"Kepler-94 b,Kepler-94,Kepler-94,1,2,Transit,2014,0.03106,3.51,10.84,0,M0 V,0.76,0.81,191.904,Kepler"
"LHS 1140 b,LHS 1140,LHS 1140,1,2,Transit,2017,0.0957,1.635,6.38,0.096,M4.5 V,0.21,0.19,14.9861,MEarth Project"
"LHS 1140 c,LHS 1140,LHS 1140,1,2,Transit,2018,0.02734,1.169,1.76,0.274,M4.5 V,0.21,0.19,14.9861,Multiple Observatories"
"LP 791-18 b,LP 791-18,LP 791-18,1,2,Transit,2019,0.00969,1.12,1.46,0,M(6.1+/-0.7) V,0.17,0.14,26.4927,Transiting Exoplanet Survey Satellite (TESS)"
"LP 791-18 c,LP 791-18,LP 791-18,1,2,Transit,2019,0.029392,2.31,5.95,0,M(6.1+/-0.7) V,0.17,0.14,26.4927,Transiting Exoplanet Survey Satellite (TESS)"
"PDS 70 b,PDS 70,PDS 70,1,2,Imaging,2018,20,30.488,953.49,0.19,K7,1.26,0.76,113.064,Paranal Observatory"
"PDS 70 c,PDS 70,PDS 70,1,2,Imaging,2019,34,22.866,635.66,0.11,K7,1.06,0.76,113.064,European Southern Observatory"
"TOI-1062 b,TOI-1062,TOI-1062,1,2,Transit,2021,0.052,2.265,10.15,0.177,G9 V,0.84,0.94,82.1733,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1062 c,TOI-1062,TOI-1062,1,2,Radial Velocity,2021,0.08,3.1,9.78,0.14,G9 V,0.84,0.94,82.1733,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1130 b,TOI-1130,TOI-1130,1,2,Transit,2020,0.04394,3.65,12.9,0.22,K7,0.69,0.68,58.2609,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1130 c,TOI-1130,TOI-1130,1,2,Transit,2020,0.07098,16.814,309.56642,0.047,K7,0.69,0.68,58.2609,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1266 b,TOI-1266,TOI-1266,1,2,Transit,2020,0.0736,2.37,13.5,0.09,M3,0.42,0.45,36.0118,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1266 c,TOI-1266,TOI-1266,1,2,Transit,2020,0.1058,1.56,2.2,0.04,M3,0.42,0.45,36.0118,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1288 b,TOI-1288,TOI-1288,1,2,Transit,2022,0.0429,5.24,42,0.064,G V,1.01,0.89,114.865,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1670 b,TOI-1670,TOI-1670,1,2,Transit,2022,0.103,2.06,41.31769,0.59,F7 V,1.32,1.21,168.067,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1670 c,TOI-1670,TOI-1670,1,2,Transit,2022,0.249,11.063,200.2319,0.09,F7 V,1.32,1.21,168.067,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2202 b,TOI-2202,TOI-2202,1,2,Transit,2021,0.09564,11.321,310.83618,0.042,K8 V,0.79,0.82,235.933,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2202 c,TOI-2202,TOI-2202,1,2,Transit Timing Variations,2021,0.15544,13.4,117.27868,0.0622,K8 V,0.79,0.82,235.933,Multiple Observatories"
"TOI-411 b,TOI-411,TOI-411,1,2,Transit,2022,0.0528,1.72,3.61,0.126,F7/F8V,1.16,1.1,62.7792,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-411 c,TOI-411,TOI-411,1,2,Transit,2022,0.0939,2.74,7.95,0.16,F7/F8V,1.16,1.1,62.7792,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-763 b,TOI-763,TOI-763,1,2,Transit,2020,0.06,2.28,9.79,0.04,G,0.9,0.92,95.1274,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-763 c,TOI-763,TOI-763,1,2,Transit,2020,0.1011,2.63,9.32,0.04,G,0.9,0.92,95.1274,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-776 b,TOI-776,TOI-776,1,2,Transit,2020,0.0652,1.85,4,0.06,M1 V,0.54,0.54,27.1701,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-776 c,TOI-776,TOI-776,1,2,Transit,2020,0.1,2.02,5.3,0.04,M1 V,0.54,0.54,27.1701,Transiting Exoplanet Survey Satellite (TESS)"
"TOI-969 c,TOI-969,TOI-969,1,2,Radial Velocity,2022,2.52,12.4,3591.461,0.628,K V,0.67,0.73,77.2554,Multiple Observatories"
"Teegarden's Star b,Teegarden's Star,Teegarden's Star,1,2,Radial Velocity,2019,0.0252,1.02,1.05,0,M7.0 V,0.11,0.09,3.83078,Calar Alto Observatory"
"Teegarden's Star c,Teegarden's Star,Teegarden's Star,1,2,Radial Velocity,2019,0.0443,1.04,1.11,0,M7.0 V,0.11,0.09,3.83078,Calar Alto Observatory"
"WASP-107 b,WASP-107,WASP-107,1,2,Transit,2017,0.055,10.536,30.5,0.06,K6,0.67,0.68,64.7414,SuperWASP-South"
"WASP-126 b,WASP-126,WASP-126,1,2,Transit,2016,0.0449,10.435,90.3,0.18,G2,1.27,1.12,216.526,SuperWASP-South"
"WASP-132 b,WASP-132,WASP-132,1,2,Transit,2016,0.067,10.05,130.3103,0.07,K4,0.75,0.78,122.91,SuperWASP-South"
"WASP-132 c,WASP-132,WASP-132,1,2,Transit,2022,0.0182,1.85,37.35,0.13,K4,0.75,0.78,122.91,Transiting Exoplanet Survey Satellite (TESS)"
"WASP-148 b,WASP-148,WASP-148,1,2,Transit,2020,0.08215,8.474,91.21675,0.208,G,0.91,0.95,246.353,SuperWASP-North"
"WASP-148 c,WASP-148,WASP-148,1,2,Radial Velocity,2020,0.2044,13.9,124.58874,0.1809,G,0.91,0.95,246.353,Haute-Provence Observatory"
"bet Pic b,bet Pic,bet Pic,1,2,Imaging,2008,10.019926,18.495,3729.12221,0.105598,A5V,1.54,1.8,19.7442,Paranal Observatory"
"bet Pic c,bet Pic,bet Pic,1,2,Radial Velocity,2019,2.680483,12.5,3223.13586,0.314213,A5V,2.01,1.8,19.7442,La Silla Observatory"
"gam Lib b,gam Lib,gam Lib,1,2,Radial Velocity,2018,1.24,13.8,324.1866,0.21,K0 III,11.1,1.47,47.4017,Okayama Astrophysical Observatory"
"gam Lib c,gam Lib,gam Lib,1,2,Radial Velocity,2018,2.17,12.9,1455.6614,0.057,K0 III,11.1,1.47,47.4017,Okayama Astrophysical Observatory"
"iot Dra b,iot Dra,iot Dra,1,2,Radial Velocity,2002,1.453,12.4,3756.73177,0.701,K2 III,11.79,1.54,31.32832,Lick Observatory"
"iot Dra c,iot Dra,iot Dra,1,2,Radial Velocity,2022,19.4,12.2,4958.12315,0.455,K2 III,11.79,1.54,31.32832,La Silla Observatory"
"nu Oph b,nu Oph,nu Oph,1,2,Radial Velocity,2012,1.79,12,7057.73298,0.124,K0 III,14.6,2.7,46.2107,Okayama Astrophysical Observatory"
"nu Oph c,nu Oph,nu Oph,1,2,Radial Velocity,2012,5.931,12,7838.32346,0.18,K0 III,14.6,2.7,46.2107,Okayama Astrophysical Observatory"
"rho CrB b,rho CrB,rho CrB,1,2,Radial Velocity,1997,0.2196,13.8,332.1,0.0373,G0 V,1.36,0.89,17.4671,Fred Lawrence Whipple Observatory"
"rho CrB c,rho CrB,rho CrB,1,2,Radial Velocity,2016,0.4123,5.38,25,0.052,G0 V,1.36,0.89,17.4671,Multiple Observatories"
"11 UMi b,11 UMi,11 UMi,1,1,Radial Velocity,2009,1.53,12.3,4684.8142,0.08,K4 III,29.79,2.78,125.321,Thueringer Landessternwarte Tautenburg"
"14 And b,14 And,14 And,1,1,Radial Velocity,2008,0.83,12.9,1525.5,0,K0 III,11,2.2,75.4392,Okayama Astrophysical Observatory"
"17 Sco b,17 Sco,17 Sco,1,1,Radial Velocity,2020,1.45,12.9,1373.01872,0.06,K3 III,25.92,1.22,124.953,Lick Observatory"
"24 Boo b,24 Boo,24 Boo,1,1,Radial Velocity,2018,0.19,13.9,289.2253,0.042,G3 IV,10.64,0.99,95.9863,Okayama Astrophysical Observatory"
"4 UMa b,4 UMa,4 UMa,1,1,Radial Velocity,2006,0.87,12.7,2256.5,0.432,K1 III,18.11,1.23,73.4603,Thueringer Landessternwarte Tautenburg"
"51 Peg b,51 Peg,51 Peg,1,1,Radial Velocity,1995,0.0527,14.3,146.2018,0.013,G5V,1.18,1.03,15.4614,Haute-Provence Observatory"
"6 Lyn b,6 Lyn,6 Lyn,1,1,Radial Velocity,2008,2.11,13.4,638.8383,0.073,K0 IV,5.2,1.44,54.6599,Okayama Astrophysical Observatory"
"70 Vir b,70 Vir,70 Vir,1,1,Radial Velocity,1996,0.481,12.6,2380.45,0.3988,G5V,1.89,1.09,17.9011,Lick Observatory"
"8 UMi b,8 UMi,8 UMi,1,1,Radial Velocity,2015,0.49,13.6,416.3573,0.06,K0,10.3,1.44,162.552,Bohyunsan Optical Astronomical Observatory"
"81 Cet b,81 Cet,81 Cet,1,1,Radial Velocity,2008,2.5,12.8,1684.4,0.206,G5 III,11,2.4,101.26,Okayama Astrophysical Observatory"
"BD+14 4559 b,BD+14 4559,BD+14 4559,1,1,Radial Velocity,2009,0.78,13.8,330.5432,0.29,K2 V,0.86,0.49,49.352,McDonald Observatory"
"BD+15 2375 b,BD+15 2375,BD+15 2375,1,1,Radial Velocity,2016,0.576,13.8,337.21763,0.001,G5,8.95,1.08,768.045,Roque de los Muchachos Observatory"
"BD+15 2940 b,BD+15 2940,BD+15 2940,1,1,Radial Velocity,2013,0.539,13.7,352.78,0.26,K0,14.7,1.1,426.42,McDonald Observatory"
"BD+20 274 b,BD+20 274,BD+20 274,1,1,Radial Velocity,2012,1.3,13,1334.886,0.21,K5 III,17.3,0.8,1322.51,McDonald Observatory"
"BD+20 594 b,BD+20 594,BD+20 594,1,1,Transit,2016,0.241,2.578,22.2481,0,G,1.08,1.67,179.461,K2"
"BD+45 564 b,BD+45 564,BD+45 564,1,1,Radial Velocity,2021,0.83,13.6,432.24663,0.12,K1,0.81,0.81,53.622,Haute-Provence Observatory"
"BD+48 738 b,BD+48 738,BD+48 738,1,1,Radial Velocity,2011,1,13.9,289.2253,0.2,K0 III,11,0.74,871.493,McDonald Observatory"
"BD+48 740 b,BD+48 740,BD+48 740,1,1,Radial Velocity,2018,1.7,13.5,540.311,0.76,K3 III,10.33,1.09,666.589,Multiple Observatories"
"BD+49 828 b,BD+49 828,BD+49 828,1,1,Radial Velocity,2015,4.2,13.5,508.5,0.35,K0,7.6,1.52,442.042,McDonald Observatory"
"BD+55 362 b,BD+55 362,BD+55 362,1,1,Radial Velocity,2021,0.78,14,228.83645,0.27,K3,0.9,0.91,52.5697,Haute-Provence Observatory"
"BD+63 1405 b,BD+63 1405,BD+63 1405,1,1,Radial Velocity,2021,2.06,13,1258.60049,0.88,K0,0.8,0.82,38.0473,Haute-Provence Observatory"
"BD-00 4475 b,BD-00 4475,BD-00 4475,1,1,Radial Velocity,2021,1.48,12,7961.6016,0.39,G0,0.84,0.81,42.6402,Haute-Provence Observatory"
"BD-10 3166 b,BD-10 3166,BD-10 3166,1,1,Radial Velocity,2000,0.04,14.1,187.5197,0.02,K0 V,0.91,1.47,84.4069,W. M. Keck Observatory"
"BD-13 2130 b,BD-13 2130,BD-13 2130,1,1,Radial Velocity,2007,1.66,12.5,3108.3774,0.21,G5 IV/V,19.17,2.12,925.214,La Silla Observatory"
"BD-17 63 b,BD-17 63,BD-17 63,1,1,Radial Velocity,2008,1.34,12.8,1620.9,0.54,K5 V,0.69,0.74,34.4603,La Silla Observatory"
"CoRoT-1 b,CoRoT-1,CoRoT-1,1,1,Transit,2008,0.02752,16.7,327.35,0,G0 V,1.11,0.95,787.909,CoRoT"
"CoRoT-10 b,CoRoT-10,CoRoT-10,1,1,Transit,2010,0.1055,10.87,874,0.53,K1 V,0.79,0.89,338.386,CoRoT"
"CoRoT-11 b,CoRoT-11,CoRoT-11,1,1,Transit,2010,0.0436,16.03,740.51,0,F6 V,1.37,1.27,655.037,CoRoT"
"CoRoT-13 b,CoRoT-13,CoRoT-13,1,1,Transit,2010,0.051,9.92,415.704,0,G0 V,1.01,1.09,1148.93,CoRoT"
"CoRoT-14 b,CoRoT-14,CoRoT-14,1,1,Transit,2010,0.027,12.22,2415.4,0,F9 V,1.21,1.13,1744.6,CoRoT"
"CoRoT-16 b,CoRoT-16,CoRoT-16,1,1,Transit,2011,0.0618,13.11,170.032,0.33,G5 V,1.19,1.1,732.409,CoRoT"
"CoRoT-17 b,CoRoT-17,CoRoT-17,1,1,Transit,2011,0.0461,11.43,772.29,0,G2 V,1.59,1.04,1176.12,CoRoT"
"CoRoT-18 b,CoRoT-18,CoRoT-18,1,1,Transit,2011,0.0295,14.68,1102.82,0.08,G9 V,1,0.95,764.889,CoRoT"
"CoRoT-19 b,CoRoT-19,CoRoT-19,1,1,Transit,2011,0.0518,14.46,352.78,0.047,F9 V,1.65,1.21,790.663,CoRoT"
"CoRoT-21 b,CoRoT-21,CoRoT-21,1,1,Transit,2012,0.0417,14.572,718.2958,0,F8 IV,1.95,1.29,1398.834197,CoRoT"
"CoRoT-22 b,CoRoT-22,CoRoT-22,1,1,Transit,2014,0.092,4.88,12.2,0.077,G3 V,1.14,1.1,627.158,CoRoT"
"CoRoT-23 b,CoRoT-23,CoRoT-23,1,1,Transit,2011,0.048,11.77,889.9,0.16,G0 V,1.61,1.14,1060.97,CoRoT"
"CoRoT-25 b,CoRoT-25,CoRoT-25,1,1,Transit,2013,0.0578,12.11,85.81,0,F9,1.19,1.09,1103.48,CoRoT"
"CoRoT-26 b,CoRoT-26,CoRoT-26,1,1,Transit,2013,0.0526,14.12,165.26,0,G5,1.79,1.09,1045.18,CoRoT"
"CoRoT-27 b,CoRoT-27,CoRoT-27,1,1,Transit,2014,0.0476,11.287,3302.11,0.065,G2,1.08,1.05,1010.28,CoRoT"
"CoRoT-28 b,CoRoT-28,CoRoT-28,1,1,Transit,2015,0.0603,10.705,153.82972,0.047,G8/9 IV,1.78,1.01,766.183,CoRoT"
"CoRoT-29 b,CoRoT-29,CoRoT-29,1,1,Transit,2015,0.0386,10.088,270.1555,0.082,K0 V,0.9,0.97,806.507,CoRoT"
"CoRoT-3 b,CoRoT-3,CoRoT-3,1,1,Transit,2008,0.05783,11.32,6883.91,0,F3 V,1.56,1.37,768.771,CoRoT"
"CoRoT-30 b,CoRoT-30,CoRoT-30,1,1,Transit,2020,0.0844,11.31,921.707,0.007,G3 V,0.91,0.98,1032.23,CoRoT"
"CoRoT-31 b,CoRoT-31,CoRoT-31,1,1,Transit,2020,0.0586,16.365,266.9772,0.02,G2 IV,2.15,1.25,2005.76,CoRoT"
"CoRoT-35 b,CoRoT-35,CoRoT-35,1,1,Transit,2022,0.0429,18.831,349.61125,0,F6 V,1.65,1.01,1123.21,CoRoT"
"CoRoT-36 b,CoRoT-36,CoRoT-36,1,1,Transit,2022,0.066,15.805,216.12332,0,F3 V,1.52,1.32,925.958,CoRoT"
"CoRoT-5 b,CoRoT-5,CoRoT-5,1,1,Transit,2009,0.04947,15.558,148.42,0.09,F9 V,1.19,1,882.472,CoRoT"
"CoRoT-6 b,CoRoT-6,CoRoT-6,1,1,Transit,2009,0.0855,13.068,940.74,0.1,F9 V,1.03,1.05,645.294,CoRoT"
"CoRoT-8 b,CoRoT-8,CoRoT-8,1,1,Transit,2010,0.063,6.39,69.92,0,K1 V,0.77,0.88,322.037,CoRoT"
"DMPP-2 b,DMPP-2,DMPP-2,1,1,Radial Velocity,2019,0.0664,14.3,138.89171,0.078,F5 V,1.78,1.44,137.94,Multiple Facilities"
"EPIC 211822797 b,EPIC 211822797,EPIC 211822797,1,1,Transit,2016,0.1195,1.92,4.35,0.06,M0,0.58,0.62,186.197,K2"
"EPIC 211945201 b,EPIC 211945201,EPIC 211945201,1,1,Transit,2018,0.1493,5.76,27,0,G0,1.39,1.17,181.69,K2"
"G 9-40 b,G 9-40,G 9-40,1,1,Transit,2019,0.0385,2.025,4.76,0,M2.5 V,0.31,0.29,27.9276,K2"
"GJ 1214 b,GJ 1214,GJ 1214,1,1,Transit,2009,0.0149,2.742,8.17,0.063,M4 V,0.21,0.18,14.6427,MEarth Project"
"GJ 1252 b,GJ 1252,GJ 1252,1,1,Transit,2020,0.00915,1.18,1.32,0,M3,0.39,0.38,20.373,Transiting Exoplanet Survey Satellite (TESS)"
"GJ 1265 b,GJ 1265,GJ 1265,1,1,Radial Velocity,2018,0.026,2.63,7.4,0.04,M4.5 V,0.19,0.18,10.2525,Calar Alto Observatory"
"GJ 160.2 b,GJ 160.2,GJ 160.2,1,1,Radial Velocity,2014,0.053,3.17,10.2,0.06,M0 V,0.66,0.69,25.8557,Multiple Observatories"
"GJ 179 b,GJ 179,GJ 179,1,1,Radial Velocity,2009,2.41,13.9,260.61,0.21,M3.5 V,0.38,0.36,12.356,W. M. Keck Observatory"
"GJ 2056 b,GJ 2056,GJ 2056,1,1,Radial Velocity,2020,0.283,4.17,16.2,0.72,M0V:,0.71,0.62,28.4434,Multiple Observatories"
"GJ 251 b,GJ 251,GJ 251,1,1,Radial Velocity,2020,0.0818,1.83,4,0.1,M3.0 V,0.36,0.36,5.58057,W. M. Keck Observatory"
"GJ 27.1 b,GJ 27.1,GJ 27.1,1,1,Radial Velocity,2014,0.101,3.66,13,0.08,M0.5 V,0.52,0.53,23.6062,Multiple Observatories"
"GJ 3082 b,GJ 3082,GJ 3082,1,1,Radial Velocity,2020,0.079,2.79,8.2,0.22,M4,0.47,0.47,16.6186,Multiple Facilities"
"GJ 3090 b,GJ 3090,GJ 3090,1,1,Transit,2022,0.03165,2.13,3.34,0.32,M2 V,0.52,0.52,22.4751,Transiting Exoplanet Survey Satellite (TESS)"
"GJ 3222 b,GJ 3222,GJ 3222,1,1,Radial Velocity,2022,0.091179,3.45,11.73969,0.929006,K0V,0.93,0.89,18.23817,Multiple Observatories"
"GJ 328 b,GJ 328,GJ 328,1,1,Radial Velocity,2013,4.5,13.3,731,0.37,M1,0.65,0.69,20.5266,McDonald Observatory"
"GJ 3341 b,GJ 3341,GJ 3341,1,1,Radial Velocity,2015,0.089,2.46,6.6,0.31,M2.5,0.44,0.47,23.619,La Silla Observatory"
"GJ 3470 b,GJ 3470,GJ 3470,1,1,Radial Velocity,2012,0.0355,4.57,13.9,0.017,M1.5,0.55,0.54,29.4214,La Silla Observatory"
"GJ 3634 b,GJ 3634,GJ 3634,1,1,Radial Velocity,2010,0.0287,2.83,8.4,0.08,M2.5,0.43,0.45,20.3779,La Silla Observatory"
"GJ 367 b,GJ 367,GJ 367,1,1,Transit,2021,0.0071,0.718,0.546,0,M1.0 V,0.46,0.45,9.41263,Transiting Exoplanet Survey Satellite (TESS)"
"GJ 3779 b,GJ 3779,GJ 3779,1,1,Radial Velocity,2018,0.026,2.75,8,0.07,M4.0 V,0.28,0.27,13.743,Calar Alto Observatory"
"GJ 3942 b,GJ 3942,GJ 3942,1,1,Radial Velocity,2017,0.0608,2.57,7.14,0.121,M0,0.61,0.63,16.9287,Roque de los Muchachos Observatory"
"GJ 422 b,GJ 422,GJ 422,1,1,Radial Velocity,2014,0.111,3.33,11.07,0.11,M3.5 V,0.37,0.35,12.6631,Multiple Observatories"
"GJ 4276 b,GJ 4276,GJ 4276,1,1,Radial Velocity,2019,0.082,4.22,16.57,0.37,M4.0,0.41,0.41,21.3362,Calar Alto Observatory"
"GJ 436 b,GJ 436,GJ 436,1,1,Radial Velocity,2004,0.0291,4.17,22.1,0.13827,M2.5 V,0.46,0.47,9.75321,W. M. Keck Observatory"
"GJ 480 b,GJ 480,GJ 480,1,1,Radial Velocity,2020,0.068,3.69,13.2,0.1,M3.5 Ve,0.46,0.45,14.2358,Multiple Observatories"
"GJ 486 b,GJ 486,GJ 486,1,1,Radial Velocity,2021,0.01734,1.305,2.82,0.05,M3.5 V,0.33,0.32,8.07426,Calar Alto Observatory"
"GJ 514 b,GJ 514,GJ 514,1,1,Radial Velocity,2022,0.422,2.13,5.2,0.45,M0.5-1.0 V,0.5,0.51,7.61778,Multiple Observatories"
"GJ 536 b,GJ 536,GJ 536,1,1,Radial Velocity,2016,0.06661,2.17,5.36,0.08,M1 V,0.5,0.52,10.4092,La Silla Observatory"
"GJ 625 b,GJ 625,GJ 625,1,1,Radial Velocity,2017,0.078361,1.49,2.82,0.13,M2,0.31,0.3,6.47249,Multiple Observatories"
"GJ 649 b,GJ 649,GJ 649,1,1,Radial Velocity,2009,1.135,12.5,104.244,0.3,M1.5,0.5,0.54,10.3796,W. M. Keck Observatory"
"GJ 674 b,GJ 674,GJ 674,1,1,Radial Velocity,2007,0.039,3.33,11.09,0.2,M2.5,0.36,0.35,4.54896,La Silla Observatory"
"GJ 680 b,GJ 680,GJ 680,1,1,Radial Velocity,2022,10.121898,12,7764.94529,0.381243,K5,0.46,0.46,9.67315,Multiple Observatories"
"GJ 685 b,GJ 685,GJ 685,1,1,Radial Velocity,2019,0.1344,2.95,9,0,M0.5,0.54,0.55,14.3155,Roque de los Muchachos Observatory"
"GJ 740 b,GJ 740,GJ 740,1,1,Radial Velocity,2021,0.029,1.53,2.96,0.24,M1.0 V,0.56,0.58,11.1017,Multiple Observatories"
"GJ 832 b,GJ 832,GJ 832,1,1,Radial Velocity,2008,3.56,14,216,0.08,M1.5,0.44,0.45,4.96435,Anglo-Australian Telescope"
"GJ 9066 c,GJ 9066,GJ 9066,1,1,Radial Velocity,2020,0.88,9.6,66.74397,0.46,M5.0 V,0.16,0.15,4.471,Multiple Observatories"
"GJ 96 b,GJ 96,GJ 96,1,1,Radial Velocity,2018,0.291,4.67,19.66,0.44,M2,0.58,0.6,11.9315,Haute-Provence Observatory"
"GJ 9689 b,GJ 9689,GJ 9689,1,1,Radial Velocity,2020,0.1139,3.07,9.65,0.29,M0.5,0.57,0.59,30.6203,Roque de los Muchachos Observatory"
"GJ 9714 b,GJ 9714,GJ 9714,1,1,Radial Velocity,2022,12.341073,12.5,3051.24439,0.155099,K5V,0.66,0.67,20.5121,Multiple Observatories"
"GPX-1 b,GPX-1,GPX-1,1,1,Transit,2021,0.0338,16.477,6261.21962,0,F2,1.56,1.68,655.013,Acton Sky Portal Observatory"
"Gl 378 b,Gl 378,Gl 378,1,1,Radial Velocity,2019,0.039435,3.66,13.02,0.109,M1,0.56,0.56,14.9545,Haute-Provence Observatory"
"Gl 686 b,Gl 686,Gl 686,1,1,Radial Velocity,2018,0.091,2.46,6.624,0.05,M1.0 V,0.43,0.43,8.15728,Roque de los Muchachos Observatory"
"HAT-P-12 b,HAT-P-12,HAT-P-12,1,1,Transit,2009,0.0384,10.749,67.059,0,K4,0.7,0.73,142.751,HATNet"
"HAT-P-15 b,HAT-P-15,HAT-P-15,1,1,Transit,2010,0.0965,11.882,616.5902,0.19,G5,1.07,1,192.516,HATNet"
"HAT-P-18 b,HAT-P-18,HAT-P-18,1,1,Transit,2010,0.0559,11.153,62.61,0.084,K2,0.75,0.77,161.4,HATNet"
"HAT-P-19 b,HAT-P-19,HAT-P-19,1,1,Transit,2010,0.0466,12.689,92.802,0.067,K1,0.82,0.84,202.078,HATNet"
"HAT-P-2 b,HAT-P-2,HAT-P-2,1,1,Transit,2007,0.06814,10.66,2765.121,0.5172,F8,1.39,1.33,127.774,HATNet"
"HAT-P-20 b,HAT-P-20,HAT-P-20,1,1,Transit,2010,0.0361,9.718,2302.899,0.015,K3,0.69,0.76,71.0374,HATNet"
"HAT-P-21 b,HAT-P-21,HAT-P-21,1,1,Transit,2010,0.0494,12.442,1547.8321,0.23,G3,1.21,1.24,277.278,HATNet"
"HAT-P-23 b,HAT-P-23,HAT-P-23,1,1,Transit,2010,0.0232,12.218,425.8922,0.11,G0,0.96,0.58,364.813,HATNet"
"HAT-P-25 b,HAT-P-25,HAT-P-25,1,1,Transit,2010,0.0466,12.722,180.84527,0.023,G5,0.92,1.01,300.384,HATNet"
"HAT-P-26 b,HAT-P-26,HAT-P-26,1,1,Transit,2010,0.0479,7.062,22.2481,0.12,K1,0.87,1.12,141.837,HATNet"
"HAT-P-28 b,HAT-P-28,HAT-P-28,1,1,Transit,2011,0.0434,13.585,198.953,0.051,G3,1.1,1.03,401.319,HATNet"
"HAT-P-36 b,HAT-P-36,HAT-P-36,1,1,Transit,2011,0.0241,14.314,587.41341,0.063,G5 V,1.04,1.03,294.419,HATNet"
"HAT-P-38 b,HAT-P-38,HAT-P-38,1,1,Transit,2012,0.0523,9.247,84.857,0.067,G5,0.92,0.89,255.206,HATNet"
"HAT-P-43 b,HAT-P-43,HAT-P-43,1,1,Transit,2012,0.0444,13.63,210.395,0.21,F9,1.08,1.03,528.825,HATNet"
"HAT-P-49 b,HAT-P-49,HAT-P-49,1,1,Transit,2014,0.04378,17.822,699.226,0,F,2.06,2.22,350.351,HATNet"
